"","poverty_level","primary_focus_area","date_completed","total_price_excluding_optional_support","students_reached"
"1937","highest poverty","Literacy & Language","2009-11",363333.2,59821
"1938","low poverty","Literacy & Language","2009-11",6834.59,1120
"1939","moderate poverty","Literacy & Language","2009-11",37974.93,7497
"1940","high poverty","Math & Science","2009-11",75199.19,22401
"1941","highest poverty","Math & Science","2009-11",296737.86,58668
"1942","low poverty","Math & Science","2009-11",10419.72,2238
"1943","moderate poverty","Math & Science","2009-11",22637.63,4855
"1944","high poverty","Music & The Arts","2009-11",19904.04,7066
"1945","highest poverty","Music & The Arts","2009-11",142921.83,37912
"1946","low poverty","Music & The Arts","2009-11",832.05,499
"1947","moderate poverty","Music & The Arts","2009-11",4209.85,1565
"1948","high poverty","Special Needs","2009-11",15161.42,1507
"1949","highest poverty","Special Needs","2009-11",44195.49,4004
"1950","low poverty","Special Needs","2009-11",1206.52,217
"1951","moderate poverty","Special Needs","2009-11",3457.1,603
"1952","high poverty","Applied Learning","2009-12",39913.78,11039
"1953","highest poverty","Applied Learning","2009-12",185276.94,34268
"1954","low poverty","Applied Learning","2009-12",3875.66,205
"1955","moderate poverty","Applied Learning","2009-12",14057.29,2520
"1956","high poverty","Health & Sports","2009-12",12203.45,5576
"1957","highest poverty","Health & Sports","2009-12",59442.56,20329
"1958","low poverty","Health & Sports","2009-12",1947.63,444
"1959","moderate poverty","Health & Sports","2009-12",1701.82,834
"1960","high poverty","History & Civics","2009-12",27950.36,6761
"1961","highest poverty","History & Civics","2009-12",165238.25,42297
"1962","low poverty","History & Civics","2009-12",3528.09,825
"1963","moderate poverty","History & Civics","2009-12",14466.14,2574
"1964","high poverty","Literacy & Language","2009-12",181312.77,39876
"1965","highest poverty","Literacy & Language","2009-12",965316.97,147730
"1966","low poverty","Literacy & Language","2009-12",18656.59,2555
"1967","moderate poverty","Literacy & Language","2009-12",81960.72,14567
"1968","high poverty","Math & Science","2009-12",170523.66,36853
"1969","highest poverty","Math & Science","2009-12",584448.38,109465
"1970","low poverty","Math & Science","2009-12",23334.75,5270
"1971","moderate poverty","Math & Science","2009-12",74482.22,21106
"1972","high poverty","Music & The Arts","2009-12",57987.6,23884
"1973","highest poverty","Music & The Arts","2009-12",272840.56,85894
"1974","low poverty","Music & The Arts","2009-12",4018.19,2321
"1975","moderate poverty","Music & The Arts","2009-12",20179.08,7298
"1976","high poverty","Special Needs","2009-12",36868.34,3260
"1977","highest poverty","Special Needs","2009-12",188967.43,14415
"1978","low poverty","Special Needs","2009-12",3109.15,614
"1979","moderate poverty","Special Needs","2009-12",19014.23,1852
"1980","high poverty","Applied Learning","2010-01",62530.09,4729
"1981","highest poverty","Applied Learning","2010-01",101343.77,15878
"1982","low poverty","Applied Learning","2010-01",872,301
"1983","moderate poverty","Applied Learning","2010-01",22973.57,3758
"1984","high poverty","Health & Sports","2010-01",10366.42,2932
"1985","highest poverty","Health & Sports","2010-01",29472.74,11391
"1986","low poverty","Health & Sports","2010-01",309.98,21
"1987","moderate poverty","Health & Sports","2010-01",3481.55,2054
"1988","high poverty","History & Civics","2010-01",12395.69,2295
"1989","highest poverty","History & Civics","2010-01",88976.13,12828
"1990","low poverty","History & Civics","2010-01",1691.13,284
"1991","moderate poverty","History & Civics","2010-01",8981.28,2289
"1992","high poverty","Literacy & Language","2010-01",117754.26,20474
"1993","highest poverty","Literacy & Language","2010-01",484843.04,73976
"1994","low poverty","Literacy & Language","2010-01",11735.85,2011
"1995","moderate poverty","Literacy & Language","2010-01",58551.84,8059
"1996","high poverty","Math & Science","2010-01",73968.96,13432
"1997","highest poverty","Math & Science","2010-01",290809.66,51643
"1998","low poverty","Math & Science","2010-01",12936.32,2711
"1999","moderate poverty","Math & Science","2010-01",34058.62,5031
"2000","high poverty","Music & The Arts","2010-01",39856.76,20235
"2001","highest poverty","Music & The Arts","2010-01",163578.73,58484
"2002","low poverty","Music & The Arts","2010-01",2404.1,521
"2003","moderate poverty","Music & The Arts","2010-01",12862.55,3702
"2004","high poverty","Special Needs","2010-01",22998.3,1534
"2005","highest poverty","Special Needs","2010-01",80919.74,5117
"2006","low poverty","Special Needs","2010-01",932.58,47
"2007","moderate poverty","Special Needs","2010-01",12253.45,660
"2008","high poverty","Applied Learning","2010-02",31398.17,9337
"2009","highest poverty","Applied Learning","2010-02",78253.55,1010942
"2010","low poverty","Applied Learning","2010-02",3250.64,979
"2011","moderate poverty","Applied Learning","2010-02",5270.18,1714
"2012","high poverty","Health & Sports","2010-02",2944.13,1190
"2013","highest poverty","Health & Sports","2010-02",14663.81,7192
"2014","low poverty","Health & Sports","2010-02",1378.9,340
"2015","moderate poverty","Health & Sports","2010-02",1002.24,523
"2016","high poverty","History & Civics","2010-02",83294.34,18228
"2017","highest poverty","History & Civics","2010-02",181844.76,NA
"2018","low poverty","History & Civics","2010-02",2964.66,433
"2019","moderate poverty","History & Civics","2010-02",30298.29,8540
"2020","high poverty","Literacy & Language","2010-02",117529.91,22790
"2021","highest poverty","Literacy & Language","2010-02",414133.42,96049
"2022","low poverty","Literacy & Language","2010-02",15096.11,2372
"2023","moderate poverty","Literacy & Language","2010-02",43804.77,9724
"2024","high poverty","Math & Science","2010-02",82994.74,17848
"2025","highest poverty","Math & Science","2010-02",292059.17,53781
"2026","low poverty","Math & Science","2010-02",9290.29,2172
"2027","moderate poverty","Math & Science","2010-02",40044.66,10170
"2028","high poverty","Music & The Arts","2010-02",28401.86,8864
"2029","highest poverty","Music & The Arts","2010-02",89757.06,33501
"2030","low poverty","Music & The Arts","2010-02",1654.03,281
"2031","moderate poverty","Music & The Arts","2010-02",8836.33,1828
"2032","high poverty","Special Needs","2010-02",22336,2032
"2033","highest poverty","Special Needs","2010-02",61055.58,5643
"2034","low poverty","Special Needs","2010-02",1640.94,170
"2035","moderate poverty","Special Needs","2010-02",16913.17,642
"2036","high poverty","Applied Learning","2010-03",43943.33,11180
"2037","highest poverty","Applied Learning","2010-03",118372.37,25949
"2038","low poverty","Applied Learning","2010-03",7083.37,2639
"2039","moderate poverty","Applied Learning","2010-03",19692.32,2195
"2040","high poverty","Health & Sports","2010-03",16652.66,12365
"2041","highest poverty","Health & Sports","2010-03",57185.79,NA
"2042","low poverty","Health & Sports","2010-03",2725.15,594
"2043","moderate poverty","Health & Sports","2010-03",4381.66,4095
"2044","high poverty","History & Civics","2010-03",19731.1,3525
"2045","highest poverty","History & Civics","2010-03",69699.79,7986
"2046","low poverty","History & Civics","2010-03",2488.65,589
"2047","moderate poverty","History & Civics","2010-03",6766.09,1061
"2048","high poverty","Literacy & Language","2010-03",189847.12,NA
"2049","highest poverty","Literacy & Language","2010-03",662785.1,NA
"2050","low poverty","Literacy & Language","2010-03",17141.88,3762
"2051","moderate poverty","Literacy & Language","2010-03",82695.09,12745
"2052","high poverty","Math & Science","2010-03",183088.55,NA
"2053","highest poverty","Math & Science","2010-03",561294.26,NA
"2054","low poverty","Math & Science","2010-03",35886.65,8531
"2055","moderate poverty","Math & Science","2010-03",76492.25,22475
"2056","high poverty","Music & The Arts","2010-03",64547.64,30486
"2057","highest poverty","Music & The Arts","2010-03",218984.06,NA
"2058","low poverty","Music & The Arts","2010-03",6889.16,2562
"2059","moderate poverty","Music & The Arts","2010-03",29662.29,11157
"2060","high poverty","Special Needs","2010-03",27711.66,2750
"2061","highest poverty","Special Needs","2010-03",90786.91,NA
"2062","low poverty","Special Needs","2010-03",2401.72,208
"2063","moderate poverty","Special Needs","2010-03",23351.61,2784
"2064","high poverty","Applied Learning","2010-04",22578.49,5579
"2065","highest poverty","Applied Learning","2010-04",49272.43,12096
"2066","low poverty","Applied Learning","2010-04",221.99,20
"2067","moderate poverty","Applied Learning","2010-04",3428,235
"2068","high poverty","Health & Sports","2010-04",7374.09,5372
"2069","highest poverty","Health & Sports","2010-04",23759.27,15078
"2070","low poverty","Health & Sports","2010-04",878.68,15
"2071","moderate poverty","Health & Sports","2010-04",2679.49,1681
"2072","high poverty","History & Civics","2010-04",15550.9,3190
"2073","highest poverty","History & Civics","2010-04",31448.45,7334
"2074","low poverty","History & Civics","2010-04",64.13,87
"2075","moderate poverty","History & Civics","2010-04",2417.95,269
"2076","high poverty","Literacy & Language","2010-04",108925.03,20617
"2077","highest poverty","Literacy & Language","2010-04",460044.78,73986
"2078","low poverty","Literacy & Language","2010-04",10044.13,2294
"2079","moderate poverty","Literacy & Language","2010-04",42913.57,NA
"2080","high poverty","Math & Science","2010-04",160594.4,36901
"2081","highest poverty","Math & Science","2010-04",480439.61,NA
"2082","low poverty","Math & Science","2010-04",18169.03,2257
"2083","moderate poverty","Math & Science","2010-04",73429.43,NA
"2084","high poverty","Music & The Arts","2010-04",39649.71,13139
"2085","highest poverty","Music & The Arts","2010-04",110007.39,NA
"2086","low poverty","Music & The Arts","2010-04",934.87,375
"2087","moderate poverty","Music & The Arts","2010-04",6840.49,3654
"2088","high poverty","Special Needs","2010-04",14692.64,2307
"2089","highest poverty","Special Needs","2010-04",57858.93,5020
"2090","low poverty","Special Needs","2010-04",3169.94,257
"2091","moderate poverty","Special Needs","2010-04",7441.03,471
"2092","high poverty","Applied Learning","2010-05",7089.12,3180
"2093","highest poverty","Applied Learning","2010-05",33783.01,7234
"2094","low poverty","Applied Learning","2010-05",451.87,75
"2095","moderate poverty","Applied Learning","2010-05",3186.11,2525
"2096","high poverty","Health & Sports","2010-05",6082.5,3919
"2097","highest poverty","Health & Sports","2010-05",11114.1,3865
"2098","low poverty","Health & Sports","2010-05",1264.02,465
"2099","moderate poverty","Health & Sports","2010-05",427.51,130
"2100","high poverty","History & Civics","2010-05",6361.11,1832
"2101","highest poverty","History & Civics","2010-05",21484.33,4048
"2102","moderate poverty","History & Civics","2010-05",2437.13,748
"2103","high poverty","Literacy & Language","2010-05",88920.59,17038
"2104","highest poverty","Literacy & Language","2010-05",207481.44,36904
"2105","low poverty","Literacy & Language","2010-05",2440.96,164
"2106","moderate poverty","Literacy & Language","2010-05",25490.21,6312
"2107","high poverty","Math & Science","2010-05",40002.39,8666
"2108","highest poverty","Math & Science","2010-05",135019.29,32231
"2109","low poverty","Math & Science","2010-05",395.23,86
"2110","moderate poverty","Math & Science","2010-05",19343.29,8325
"2111","high poverty","Music & The Arts","2010-05",29150.93,11984
"2112","highest poverty","Music & The Arts","2010-05",59095.53,33808
"2113","low poverty","Music & The Arts","2010-05",1779.44,550
"2114","moderate poverty","Music & The Arts","2010-05",10130.26,3537
"2115","high poverty","Special Needs","2010-05",9024.57,883
"2116","highest poverty","Special Needs","2010-05",29766.12,NA
"2117","low poverty","Special Needs","2010-05",2369.64,74
"2118","moderate poverty","Special Needs","2010-05",6492.14,882
"2119","high poverty","Applied Learning","2010-06",8218.25,3914
"2120","highest poverty","Applied Learning","2010-06",29515.37,8910
"2121","low poverty","Applied Learning","2010-06",282.9,25
"2122","moderate poverty","Applied Learning","2010-06",3210.94,198
"2123","high poverty","Health & Sports","2010-06",2676.82,1401
"2124","highest poverty","Health & Sports","2010-06",5160.07,2682
"2125","low poverty","Health & Sports","2010-06",186.11,75
"2126","moderate poverty","Health & Sports","2010-06",1021.92,539
"2127","high poverty","History & Civics","2010-06",9926.7,3584
"2128","highest poverty","History & Civics","2010-06",23254.29,4344
"2129","low poverty","History & Civics","2010-06",1564.11,246
"2130","moderate poverty","History & Civics","2010-06",10680.26,2253
"2131","high poverty","Literacy & Language","2010-06",50575.71,8590
"2132","highest poverty","Literacy & Language","2010-06",198020.76,32522
"2133","low poverty","Literacy & Language","2010-06",11555.35,3088
"2134","moderate poverty","Literacy & Language","2010-06",21802.89,6181
"2135","high poverty","Math & Science","2010-06",32093.27,9015
"2136","highest poverty","Math & Science","2010-06",152094.42,NA
"2137","low poverty","Math & Science","2010-06",8163.13,1486
"2138","moderate poverty","Math & Science","2010-06",14806.65,5749
"2139","high poverty","Music & The Arts","2010-06",13864.43,6716
"2140","highest poverty","Music & The Arts","2010-06",74207.79,47338
"2141","low poverty","Music & The Arts","2010-06",3221.25,1501
"2142","moderate poverty","Music & The Arts","2010-06",7396.67,4731
"2143","high poverty","Special Needs","2010-06",7395.14,782
"2144","highest poverty","Special Needs","2010-06",28818.99,2295
"2145","low poverty","Special Needs","2010-06",2412.75,146
"2146","moderate poverty","Special Needs","2010-06",4877.99,967
"2147","high poverty","Applied Learning","2010-07",5503.25,3914
"2148","highest poverty","Applied Learning","2010-07",24521.13,6550
"2149","low poverty","Applied Learning","2010-07",627.6,960
"2150","moderate poverty","Applied Learning","2010-07",2341.39,753
"2151","high poverty","Health & Sports","2010-07",2343.39,2013
"2152","highest poverty","Health & Sports","2010-07",12210.5,4419
"2153","low poverty","Health & Sports","2010-07",614.26,300
"2154","moderate poverty","Health & Sports","2010-07",900.25,145
"2155","high poverty","History & Civics","2010-07",5097.93,1422
"2156","highest poverty","History & Civics","2010-07",14295.21,3757
"2157","low poverty","History & Civics","2010-07",191.75,24
"2158","moderate poverty","History & Civics","2010-07",2393.95,544
"2159","high poverty","Literacy & Language","2010-07",38653.27,8900
"2160","highest poverty","Literacy & Language","2010-07",184464.81,30272
"2161","low poverty","Literacy & Language","2010-07",4260.96,487
"2162","moderate poverty","Literacy & Language","2010-07",16020.06,2833
"2163","high poverty","Math & Science","2010-07",36691.62,8854
"2164","highest poverty","Math & Science","2010-07",113827.34,NA
"2165","low poverty","Math & Science","2010-07",3076.26,975
"2166","moderate poverty","Math & Science","2010-07",22796.81,3509
"2167","high poverty","Music & The Arts","2010-07",17157.45,7693
"2168","highest poverty","Music & The Arts","2010-07",48655.09,23768
"2169","low poverty","Music & The Arts","2010-07",4425.89,2184
"2170","moderate poverty","Music & The Arts","2010-07",4469.72,3336
"2171","high poverty","Special Needs","2010-07",12277.2,947
"2172","highest poverty","Special Needs","2010-07",19161.11,1814
"2173","low poverty","Special Needs","2010-07",2135.08,70
"2174","moderate poverty","Special Needs","2010-07",1891.72,96
"2175","high poverty","Applied Learning","2010-08",28997.67,7316
"2176","highest poverty","Applied Learning","2010-08",93062.59,17945
"2177","low poverty","Applied Learning","2010-08",1148.56,649
"2178","moderate poverty","Applied Learning","2010-08",10334.92,2609
"2179","high poverty","Health & Sports","2010-08",10744.88,3085
"2180","highest poverty","Health & Sports","2010-08",31004.04,9618
"2181","low poverty","Health & Sports","2010-08",916.63,245
"2182","moderate poverty","Health & Sports","2010-08",5804.68,2555
"2183","high poverty","History & Civics","2010-08",43748.72,8028
"2184","highest poverty","History & Civics","2010-08",76304.61,17475
"2185","low poverty","History & Civics","2010-08",2771.76,214
"2186","moderate poverty","History & Civics","2010-08",9721.77,2008
"2187","high poverty","Literacy & Language","2010-08",174199.53,30796
"2188","highest poverty","Literacy & Language","2010-08",582854.74,79692
"2189","low poverty","Literacy & Language","2010-08",22310.26,2491
"2190","moderate poverty","Literacy & Language","2010-08",74617.32,13747
"2191","high poverty","Math & Science","2010-08",154060.52,28649
"2192","highest poverty","Math & Science","2010-08",400402.22,67282
"2193","low poverty","Math & Science","2010-08",33876.99,11761
"2194","moderate poverty","Math & Science","2010-08",154892.38,17992
"2195","high poverty","Music & The Arts","2010-08",55847.99,12842
"2196","highest poverty","Music & The Arts","2010-08",131029.3,41067
"2197","low poverty","Music & The Arts","2010-08",20092.6,2615
"2198","moderate poverty","Music & The Arts","2010-08",33627.74,9750
"2199","high poverty","Special Needs","2010-08",16943.69,1347
"2200","highest poverty","Special Needs","2010-08",65993.66,4823
"2201","low poverty","Special Needs","2010-08",2372.63,39
"2202","moderate poverty","Special Needs","2010-08",12175.33,575
"2203","high poverty","Applied Learning","2010-09",31807.41,8481
"2204","highest poverty","Applied Learning","2010-09",101110.04,24216
"2205","low poverty","Applied Learning","2010-09",5062.33,991
"2206","moderate poverty","Applied Learning","2010-09",15198.51,5955
"2207","high poverty","Health & Sports","2010-09",16572.74,9323
"2208","highest poverty","Health & Sports","2010-09",38513.04,14479
"2209","low poverty","Health & Sports","2010-09",2333.63,1429
"2210","moderate poverty","Health & Sports","2010-09",5166.19,2789
"2211","high poverty","History & Civics","2010-09",23384.97,4266
"2212","highest poverty","History & Civics","2010-09",91185.42,17355
"2213","low poverty","History & Civics","2010-09",5736.89,775
"2214","moderate poverty","History & Civics","2010-09",10537.03,2493
"2215","high poverty","Literacy & Language","2010-09",248415.45,43500
"2216","highest poverty","Literacy & Language","2010-09",749981.95,111632
"2217","low poverty","Literacy & Language","2010-09",40194.47,6543
"2218","moderate poverty","Literacy & Language","2010-09",107099.36,19156
"2219","high poverty","Math & Science","2010-09",179975.41,36262
"2220","highest poverty","Math & Science","2010-09",521959.33,98844
"2221","low poverty","Math & Science","2010-09",56776.65,12057
"2222","moderate poverty","Math & Science","2010-09",104388.68,22457
"2223","high poverty","Music & The Arts","2010-09",59830.33,34257
"2224","highest poverty","Music & The Arts","2010-09",177892.69,65781
"2225","low poverty","Music & The Arts","2010-09",13710.16,3088
"2226","moderate poverty","Music & The Arts","2010-09",29525.38,15507
"2227","high poverty","Special Needs","2010-09",27355.2,3127
"2228","highest poverty","Special Needs","2010-09",68185.19,5342
"2229","low poverty","Special Needs","2010-09",6685,471
"2230","moderate poverty","Special Needs","2010-09",19081.13,1529
"2231","high poverty","Applied Learning","2010-10",64526.57,19181
"2232","highest poverty","Applied Learning","2010-10",133254.07,28265
"2233","low poverty","Applied Learning","2010-10",6848.25,1854
"2234","moderate poverty","Applied Learning","2010-10",28906.64,5596
"2235","high poverty","Health & Sports","2010-10",22240.34,9238
"2236","highest poverty","Health & Sports","2010-10",35217.21,17013
"2237","low poverty","Health & Sports","2010-10",2712.94,1265
"2238","moderate poverty","Health & Sports","2010-10",7626.82,4492
"2239","high poverty","History & Civics","2010-10",34797.15,5890
"2240","highest poverty","History & Civics","2010-10",126816.15,22134
"2241","low poverty","History & Civics","2010-10",9215.51,1645
"2242","moderate poverty","History & Civics","2010-10",29536.05,7039
"2243","high poverty","Literacy & Language","2010-10",490729.35,86361
"2244","highest poverty","Literacy & Language","2010-10",1228293.97,203822
"2245","low poverty","Literacy & Language","2010-10",50286.06,6244
"2246","moderate poverty","Literacy & Language","2010-10",253418.55,38674
"2247","high poverty","Math & Science","2010-10",325876.06,73920
"2248","highest poverty","Math & Science","2010-10",739556.83,127948
"2249","low poverty","Math & Science","2010-10",44759.47,5759
"2250","moderate poverty","Math & Science","2010-10",185844.17,33909
"2251","high poverty","Music & The Arts","2010-10",91931.99,34643
"2252","highest poverty","Music & The Arts","2010-10",176262.85,88054
"2253","low poverty","Music & The Arts","2010-10",13764.25,5597
"2254","moderate poverty","Music & The Arts","2010-10",45356.91,18891
"2255","high poverty","Special Needs","2010-10",43777.46,3750
"2256","highest poverty","Special Needs","2010-10",120626.43,8346
"2257","low poverty","Special Needs","2010-10",6682.01,428
"2258","moderate poverty","Special Needs","2010-10",29340.86,3187
"2259","high poverty","Applied Learning","2010-11",16774.34,4320
"2260","highest poverty","Applied Learning","2010-11",57696.51,15100
"2261","low poverty","Applied Learning","2010-11",902.59,78
"2262","moderate poverty","Applied Learning","2010-11",6572.78,1567
"2263","high poverty","Health & Sports","2010-11",9835.19,7339
"2264","highest poverty","Health & Sports","2010-11",25216.44,10768
"2265","low poverty","Health & Sports","2010-11",350.81,12
"2266","moderate poverty","Health & Sports","2010-11",3877.11,1516
"2267","high poverty","History & Civics","2010-11",14014.52,3515
"2268","highest poverty","History & Civics","2010-11",57468.17,13295
"2269","low poverty","History & Civics","2010-11",4036.76,692
"2270","moderate poverty","History & Civics","2010-11",9127.51,2178
"2271","high poverty","Literacy & Language","2010-11",191372.13,41317
"2272","highest poverty","Literacy & Language","2010-11",699115.48,109305
"2273","low poverty","Literacy & Language","2010-11",20462.99,4094
"2274","moderate poverty","Literacy & Language","2010-11",92494.12,15288
"2275","high poverty","Math & Science","2010-11",132814.42,31694
"2276","highest poverty","Math & Science","2010-11",381224.33,77490
"2277","low poverty","Math & Science","2010-11",18662.93,3220
"2278","moderate poverty","Math & Science","2010-11",78292.78,18384
"2279","high poverty","Music & The Arts","2010-11",43297.11,18890
"2280","highest poverty","Music & The Arts","2010-11",100620.09,48268
"2281","low poverty","Music & The Arts","2010-11",2290.31,536
"2282","moderate poverty","Music & The Arts","2010-11",20887.25,9400
"2283","high poverty","Special Needs","2010-11",20044.15,1678
"2284","highest poverty","Special Needs","2010-11",71864.87,5388
"2285","low poverty","Special Needs","2010-11",817.56,18
"2286","moderate poverty","Special Needs","2010-11",16109.19,1691
"2287","high poverty","Applied Learning","2010-12",51442.14,15680
"2288","highest poverty","Applied Learning","2010-12",184022.63,45452
"2289","low poverty","Applied Learning","2010-12",4385.42,1556
"2290","moderate poverty","Applied Learning","2010-12",18724.23,9470
"2291","high poverty","Health & Sports","2010-12",20208.89,12740
"2292","highest poverty","Health & Sports","2010-12",84790.23,41559
"2293","low poverty","Health & Sports","2010-12",5382.79,1683
"2294","moderate poverty","Health & Sports","2010-12",10178.99,3876
"2295","high poverty","History & Civics","2010-12",37689.07,9614
"2296","highest poverty","History & Civics","2010-12",146418.14,37663
"2297","low poverty","History & Civics","2010-12",3204.98,928
"2298","moderate poverty","History & Civics","2010-12",20446.15,6210
"2299","high poverty","Literacy & Language","2010-12",451645.99,102932
"2300","highest poverty","Literacy & Language","2010-12",1532669.85,263960
"2301","low poverty","Literacy & Language","2010-12",46221.59,13098
"2302","moderate poverty","Literacy & Language","2010-12",226314.58,65333
"2303","high poverty","Math & Science","2010-12",263401.07,59016
"2304","highest poverty","Math & Science","2010-12",842649.92,171911
"2305","low poverty","Math & Science","2010-12",35436.88,5643
"2306","moderate poverty","Math & Science","2010-12",149607.16,39788
"2307","high poverty","Music & The Arts","2010-12",129580.96,49662
"2308","highest poverty","Music & The Arts","2010-12",336907.51,140259
"2309","low poverty","Music & The Arts","2010-12",9829.71,3018
"2310","moderate poverty","Music & The Arts","2010-12",51717.56,25903
"2311","high poverty","Special Needs","2010-12",64887.15,5670
"2312","highest poverty","Special Needs","2010-12",206983.74,21555
"2313","low poverty","Special Needs","2010-12",7768.89,461
"2314","moderate poverty","Special Needs","2010-12",38201.07,2732
"2315","high poverty","Applied Learning","2011-01",30317.29,11604
"2316","highest poverty","Applied Learning","2011-01",75683.12,14036
"2317","low poverty","Applied Learning","2011-01",1916.02,244
"2318","moderate poverty","Applied Learning","2011-01",20157.25,3094
"2319","high poverty","Health & Sports","2011-01",14522.45,5254
"2320","highest poverty","Health & Sports","2011-01",36368.59,13529
"2321","low poverty","Health & Sports","2011-01",2935.44,1186
"2322","moderate poverty","Health & Sports","2011-01",16284.83,8418
"2323","high poverty","History & Civics","2011-01",23579.56,6834
"2324","highest poverty","History & Civics","2011-01",63221.58,15078
"2325","low poverty","History & Civics","2011-01",4366.27,1384
"2326","moderate poverty","History & Civics","2011-01",15332.04,3711
"2327","high poverty","Literacy & Language","2011-01",205698.05,41618
"2328","highest poverty","Literacy & Language","2011-01",644330.25,92058
"2329","low poverty","Literacy & Language","2011-01",39651.7,4560
"2330","moderate poverty","Literacy & Language","2011-01",135008.95,34531
"2331","high poverty","Math & Science","2011-01",176433.05,29740
"2332","highest poverty","Math & Science","2011-01",343234.89,66931
"2333","low poverty","Math & Science","2011-01",23654.7,2395
"2334","moderate poverty","Math & Science","2011-01",87497.4,18597
"2335","high poverty","Music & The Arts","2011-01",51343.22,23428
"2336","highest poverty","Music & The Arts","2011-01",154804.57,65702
"2337","low poverty","Music & The Arts","2011-01",5175.84,1791
"2338","moderate poverty","Music & The Arts","2011-01",25846.66,8451
"2339","high poverty","Special Needs","2011-01",34736.07,2405
"2340","highest poverty","Special Needs","2011-01",105958.98,9388
"2341","low poverty","Special Needs","2011-01",5007.95,127
"2342","moderate poverty","Special Needs","2011-01",21354.87,2791
"2343","high poverty","Applied Learning","2011-02",27979.74,10756
"2344","highest poverty","Applied Learning","2011-02",64139.21,15002
"2345","low poverty","Applied Learning","2011-02",3907.86,2320
"2346","moderate poverty","Applied Learning","2011-02",15205.44,6046
"2347","high poverty","Health & Sports","2011-02",10210.01,6363
"2348","highest poverty","Health & Sports","2011-02",30592.62,15510
"2349","low poverty","Health & Sports","2011-02",387.76,20
"2350","moderate poverty","Health & Sports","2011-02",7331.84,3523
"2351","high poverty","History & Civics","2011-02",19514.57,4462
"2352","highest poverty","History & Civics","2011-02",80640.94,14966
"2353","low poverty","History & Civics","2011-02",1384.18,155
"2354","moderate poverty","History & Civics","2011-02",10645.23,3169
"2355","high poverty","Literacy & Language","2011-02",191774.49,35906
"2356","highest poverty","Literacy & Language","2011-02",578060.8,88434
"2357","low poverty","Literacy & Language","2011-02",19858.04,3252
"2358","moderate poverty","Literacy & Language","2011-02",100851.77,18582
"2359","high poverty","Math & Science","2011-02",138902.07,31773
"2360","highest poverty","Math & Science","2011-02",430123.43,90182
"2361","low poverty","Math & Science","2011-02",58432.64,9363
"2362","moderate poverty","Math & Science","2011-02",127641.8,22408
"2363","high poverty","Music & The Arts","2011-02",42540.94,18745
"2364","highest poverty","Music & The Arts","2011-02",110996.89,51054
"2365","low poverty","Music & The Arts","2011-02",1923.84,965
"2366","moderate poverty","Music & The Arts","2011-02",18859.78,8824
"2367","high poverty","Special Needs","2011-02",25239.25,1639
"2368","highest poverty","Special Needs","2011-02",78469.95,6345
"2369","low poverty","Special Needs","2011-02",1193.55,224
"2370","moderate poverty","Special Needs","2011-02",17654.63,2136
"2371","high poverty","Applied Learning","2011-03",40740.26,14804
"2372","highest poverty","Applied Learning","2011-03",103454.67,33800
"2373","low poverty","Applied Learning","2011-03",2799.71,781
"2374","moderate poverty","Applied Learning","2011-03",19426.69,7981
"2375","high poverty","Health & Sports","2011-03",11748.8,7742
"2376","highest poverty","Health & Sports","2011-03",51221.93,22170
"2377","low poverty","Health & Sports","2011-03",3696.61,2410
"2378","moderate poverty","Health & Sports","2011-03",6442.35,4611
"2379","high poverty","History & Civics","2011-03",21095.34,5213
"2380","highest poverty","History & Civics","2011-03",72945.22,16489
"2381","low poverty","History & Civics","2011-03",4308.99,1096
"2382","moderate poverty","History & Civics","2011-03",13934.42,4207
"2383","high poverty","Literacy & Language","2011-03",331306.03,66190
"2384","highest poverty","Literacy & Language","2011-03",1004834.3,170329
"2385","low poverty","Literacy & Language","2011-03",50300.74,6034
"2386","moderate poverty","Literacy & Language","2011-03",266408.6,48850
"2387","high poverty","Math & Science","2011-03",172034.27,39403
"2388","highest poverty","Math & Science","2011-03",484476.32,97835
"2389","low poverty","Math & Science","2011-03",33983.51,7566
"2390","moderate poverty","Math & Science","2011-03",138333.02,25118
"2391","high poverty","Music & The Arts","2011-03",61444.13,25711
"2392","highest poverty","Music & The Arts","2011-03",204798.63,97669
"2393","low poverty","Music & The Arts","2011-03",11250.14,3546
"2394","moderate poverty","Music & The Arts","2011-03",34644.25,15829
"2395","high poverty","Special Needs","2011-03",41152.11,3732
"2396","highest poverty","Special Needs","2011-03",129643.93,13783
"2397","low poverty","Special Needs","2011-03",8533.01,502
"2398","moderate poverty","Special Needs","2011-03",28498.2,1805
"2399","high poverty","Applied Learning","2011-04",44320.54,15196
"2400","highest poverty","Applied Learning","2011-04",102806.33,24439
"2401","low poverty","Applied Learning","2011-04",2677.27,533
"2402","moderate poverty","Applied Learning","2011-04",14615.2,7847
"2403","high poverty","Health & Sports","2011-04",16321.98,7914
"2404","highest poverty","Health & Sports","2011-04",48003.14,22699
"2405","low poverty","Health & Sports","2011-04",649.28,450
"2406","moderate poverty","Health & Sports","2011-04",9973.75,7877
"2407","high poverty","History & Civics","2011-04",21645.39,5523
"2408","highest poverty","History & Civics","2011-04",126974.48,24645
"2409","low poverty","History & Civics","2011-04",3979.57,944
"2410","moderate poverty","History & Civics","2011-04",17502.91,3717
"2411","high poverty","Literacy & Language","2011-04",286417.82,52016
